Station_Name,Epoch_Time,Predicted_lstm,true_label,Predicted_nn,Predicted_Binary
GLOG,2024-01-01 08:00:00,1,0.0,1,1
GLOG,2024-01-01 09:00:00,1,0.0,1,1
GLOG,2024-01-01 10:00:00,1,0.0,1,1
GLOG,2024-01-01 11:00:00,1,0.0,1,1
GLOG,2024-01-01 12:00:00,1,0.0,1,1
GLOG,2024-01-01 13:00:00,1,0.0,1,1
GLOG,2024-01-01 14:00:00,1,0.0,1,1
GLOG,2024-01-01 15:00:00,1,0.0,1,1
GLOG,2024-01-01 16:00:00,0,0.0,1,1
GLOG,2024-01-01 17:00:00,0,0.0,1,1
GLOG,2024-01-01 18:00:00,0,0.0,1,1
GLOG,2024-01-01 19:00:00,0,0.0,1,1
GLOG,2024-01-01 20:00:00,1,0.0,1,1
GLOG,2024-01-01 21:00:00,1,0.0,1,1
GLOG,2024-01-01 22:00:00,1,0.0,1,1
GLOG,2024-01-01 23:00:00,1,0.0,1,1
GLOG,2024-01-02 00:00:00,1,0.0,1,1
GLOG,2024-01-02 01:00:00,1,0.0,1,1
GLOG,2024-01-02 02:00:00,1,0.0,1,1
GLOG,2024-01-02 03:00:00,1,0.0,1,1
GLOG,2024-01-02 04:00:00,1,0.0,1,1
GLOG,2024-01-02 05:00:00,1,0.0,1,0
GLOG,2024-01-02 06:00:00,1,0.0,1,0
GLOG,2024-01-02 07:00:00,1,0.0,1,1
GLOG,2024-01-02 08:00:00,1,0.0,1,1
GLOG,2024-01-02 09:00:00,1,0.0,1,1
GLOG,2024-01-02 10:00:00,1,0.0,1,1
GLOG,2024-01-02 11:00:00,0,0.0,0,0
GLOG,2024-01-02 12:00:00,0,0.0,0,0
GLOG,2024-01-02 13:00:00,0,0.0,0,0
GLOG,2024-01-02 14:00:00,0,1.0,0,0
GLOG,2024-01-02 15:00:00,1,1.0,0,0
GLOG,2024-01-02 16:00:00,1,1.0,1,1
GLOG,2024-01-02 17:00:00,1,1.0,1,1
GLOG,2024-01-02 18:00:00,1,1.0,1,1
GLOG,2024-01-02 19:00:00,1,1.0,1,1
GLOG,2024-01-02 20:00:00,1,1.0,1,1
GLOG,2024-01-02 21:00:00,1,1.0,1,1
GLOG,2024-01-02 22:00:00,1,1.0,1,1
GLOG,2024-01-02 23:00:00,1,1.0,1,1
GLOG,2024-01-03 00:00:00,1,1.0,1,1
GLOG,2024-01-03 01:00:00,1,1.0,1,1
GLOG,2024-01-03 02:00:00,1,1.0,1,1
GLOG,2024-01-03 03:00:00,1,1.0,1,1
GLOG,2024-01-03 04:00:00,1,1.0,1,1
GLOG,2024-01-03 05:00:00,1,1.0,1,1
GLOG,2024-01-03 06:00:00,1,1.0,1,1
GLOG,2024-01-03 07:00:00,1,1.0,1,1
GLOG,2024-01-03 08:00:00,1,1.0,1,1
GLOG,2024-01-03 09:00:00,1,1.0,1,1
GLOG,2024-01-03 10:00:00,1,1.0,1,1
GLOG,2024-01-03 11:00:00,1,1.0,1,1
GLOG,2024-01-03 12:00:00,1,1.0,1,1
